wavelength (nm),irradiance (W/m^2/nm)
40.5,9.46017098613083E-06
41.5,9.71814552030992E-06
42.5,6.69172095513204E-06
43.5,1.32186396513134E-05
44.5,8.63184595800703E-06
45.5,8.12593680166174E-06
46.5,2.03568142751465E-05
47.5,1.01122441265034E-05
48.5,1.55188990902388E-05
49.5,2.60088418144733E-05
50.5,2.45284700213233E-05
51.5,1.03018337540561E-05
52.5,1.2106651411159E-05
53.5,9.4892930064816E-06
54.5,6.18097783444682E-06
55.5,3.02070893667405E-05
56.5,7.63048774388153E-06
57.5,7.13802819518605E-06
58.5,5.72912103962153E-05
59.5,9.56429721554741E-06
60.5,2.37599342653994E-05
61.5,1.94714575627586E-05
62.5,4.27805753133725E-05
63.5,3.26861627399921E-05
64.5,5.19610512128565E-06
65.5,4.62937214251724E-06
66.5,5.15638885190128E-06
67.5,4.26965652877698E-06
68.5,8.15230305306613E-06
69.5,6.7912706072093E-06
70.5,1.34670481202193E-05
71.5,5.58795545657631E-06
72.5,6.04105935053667E-06
73.5,3.81442919206165E-06
74.5,5.26829853697564E-06
75.5,7.05559932612232E-06
76.5,1.7545487935422E-05
77.5,1.49924353536335E-05
78.5,2.21108020923566E-05
79.5,1.56002315634396E-05
80.5,1.25324195323628E-05
81.5,1.35644613692421E-05
82.5,1.62349024321884E-05
83.5,3.67959219147451E-05
84.5,2.28940498345764E-05
85.5,2.76277769444277E-05
86.5,3.22942432831041E-05
87.5,3.80478049919475E-05
88.5,4.5838845835533E-05
89.5,5.39142165507656E-05
90.5,6.25410975771956E-05
91.5,5.27890624653082E-05
92.5,1.91353319678456E-05
93.5,1.91145518328995E-05
94.5,1.47841765283374E-05
95.5,1.17669205792481E-05
96.5,8.66832033352694E-06
97.5,0.000141734562930651
98.5,1.67443704413017E-05
99.5,2.58793934335699E-05
100.5,1.30420903587947E-05
101.5,1.56404712470248E-05
102.5,0.000127176841488108
103.5,0.000111873880086932
104.5,2.01220282178838E-05
105.5,1.76032917806879E-05
106.5,1.83372067112941E-05
107.5,2.11506121559069E-05
108.5,3.25048895319924E-05
109.5,2.39313121710438E-05
110.5,2.72265842795605E-05
111.5,2.54901187872747E-05
112.5,2.63655874732649E-05
113.5,1.70502153196139E-05
114.5,2.06250151677523E-05
