time (yyyyDDD),wavelength (nm),irradiance (W/m^2/nm)
2016128,40.5,8.019678716664203E-6
2016128,41.5,6.437041975004831E-6
2016128,42.5,5.397622317104833E-6
2016128,43.5,1.0968785318254959E-5
2016128,44.5,6.700901394651737E-6
2016128,45.5,7.257845481944969E-6
2016128,46.5,1.794818126654718E-5
2016128,47.5,8.763468940742314E-6
2016128,48.5,1.3341241356101818E-5
2016128,49.5,1.8912522136815824E-5
2016128,50.5,1.8862116121454164E-5
2016128,51.5,8.040144166443497E-6
2016128,52.5,8.72674718266353E-6
2016128,53.5,8.308810720336623E-6
2016128,54.5,5.421691639639903E-6
2016128,55.5,3.0138111469568685E-5
2016128,56.5,6.879438387841219E-6
2016128,57.5,5.962159775663167E-6
2016128,58.5,5.091959610581398E-5
2016128,59.5,8.684059139341116E-6
2016128,60.5,1.9523233277141117E-5
2016128,61.5,1.513190636615036E-5
2016128,62.5,3.765659130294807E-5
2016128,63.5,3.021215343324002E-5
2016128,64.5,4.624633220373653E-6
2016128,65.5,4.076848654221976E-6
2016128,66.5,4.434260517882649E-6
2016128,67.5,3.5746120374824386E-6
2016128,68.5,7.567373359051999E-6
2016128,69.5,5.732027602789458E-6
2016128,70.5,1.2710375813185237E-5
2016128,71.5,5.019688160246005E-6
2016128,72.5,4.858455667999806E-6
2016128,73.5,3.3798326057876693E-6
2016128,74.5,4.800779151992174E-6
2016128,75.5,6.178682724566897E-6
2016128,76.5,1.714038080535829E-5
2016128,77.5,1.4121884305495769E-5
2016128,78.5,2.159399627998937E-5
2016128,79.5,1.5146963050938211E-5
2016128,80.5,1.1275404176558368E-5
2016128,81.5,1.2404168955981731E-5
2016128,82.5,1.474421878810972E-5
2016128,83.5,3.6707740946440026E-5
2016128,84.5,2.0971967387595214E-5
2016128,85.5,2.5277218810515478E-5
2016128,86.5,2.909645627369173E-5
2016128,87.5,3.389974881429225E-5
2016128,88.5,4.0176713810069486E-5
2016128,89.5,4.522014205576852E-5
2016128,90.5,5.478487582877278E-5
2016128,91.5,4.871936471317895E-5
2016128,92.5,1.6701362255844288E-5
2016128,93.5,1.7639382349443622E-5
2016128,94.5,1.2879873793281149E-5
2016128,95.5,1.0715692951634992E-5
2016128,96.5,7.370238563453313E-6
2016128,97.5,1.2668447743635625E-4
2016128,98.5,1.5475010513910092E-5
2016128,99.5,2.2289636035566218E-5
2016128,100.5,1.0435946933284868E-5
2016128,101.5,1.3189925994083751E-5
2016128,102.5,1.1008123692590743E-4
2016128,103.5,9.802579006645828E-5
2016128,104.5,1.7144888261100277E-5
2016128,105.5,1.598063863639254E-5
2016128,106.5,1.6894813597900793E-5
2016128,107.5,1.849492036853917E-5
2016128,108.5,2.80593285424402E-5
2016128,109.5,2.141814366041217E-5
2016128,110.5,2.452834087307565E-5
2016128,111.5,2.2276659365161322E-5
2016128,112.5,2.3800204871804453E-5
2016128,113.5,1.5660001736250706E-5
2016128,114.5,1.8804308638209477E-5
