wavelength (nm),irradiance (W/m^2/nm)
40.5,6.80246466799872E-06
41.5,3.70307998309727E-06
42.5,4.65010907646501E-06
43.5,1.07724117697217E-05
44.5,5.35760273123742E-06
45.5,6.19788352196338E-06
46.5,1.81656505446881E-05
47.5,7.40004679755657E-06
48.5,1.09915481516509E-05
49.5,1.2323440387263E-05
50.5,1.48922390508233E-05
51.5,5.46066439710557E-06
52.5,5.64979654882336E-06
53.5,7.36682932256372E-06
54.5,4.3117092900502E-06
55.5,2.87788661808008E-05
56.5,6.07320953349699E-06
57.5,4.81971619592514E-06
58.5,4.31080625276081E-05
59.5,7.23555558579392E-06
60.5,1.56556197907776E-05
61.5,1.21391403808957E-05
62.5,3.46648921549786E-05
63.5,3.11448347929399E-05
64.5,3.76282196157263E-06
65.5,3.47902164321567E-06
66.5,3.78387130695046E-06
67.5,2.98058307635074E-06
68.5,7.18733554094797E-06
69.5,4.67158224637387E-06
70.5,1.18531752377749E-05
71.5,4.2247061173839E-06
72.5,3.65193477591674E-06
73.5,2.67772657025489E-06
74.5,4.12431563745486E-06
75.5,5.82107077207183E-06
76.5,1.58153925440274E-05
77.5,1.37929282573168E-05
78.5,1.96624932868872E-05
79.5,1.33817766254651E-05
80.5,1.00126362667652E-05
81.5,1.04494183688075E-05
82.5,1.24218913697405E-05
83.5,3.12068659695797E-05
84.5,1.74718952621333E-05
85.5,2.13764724321663E-05
86.5,2.41747766267508E-05
87.5,2.93376160698244E-05
88.5,3.44404616043903E-05
89.5,3.88586740882602E-05
90.5,4.66668498120271E-05
91.5,3.99733071390074E-05
92.5,1.43008637678577E-05
93.5,1.5253763194778E-05
94.5,1.08614685814246E-05
95.5,8.84723976923851E-06
96.5,6.32009232504061E-06
97.5,0.000118073556222953
98.5,1.36726494019967E-05
99.5,1.97596236830577E-05
100.5,8.66652953845914E-06
101.5,1.16153451017453E-05
102.5,9.10249145817943E-05
103.5,8.67453491082415E-05
104.5,1.36726375785656E-05
105.5,1.319856801274E-05
106.5,1.44364585139556E-05
107.5,1.6487416360178E-05
108.5,2.33019854931626E-05
109.5,1.80998868017923E-05
110.5,2.13786406675354E-05
111.5,1.96881028386997E-05
112.5,2.06734130188124E-05
113.5,1.32909653984825E-05
114.5,1.68555725394981E-05
