wavelength (nm),irradiance (W/m^2/nm)
0.5,0.000002107037
1.5,0.00006407384
2.5,0.00005600219
3.5,0.00004622776
4.5,0.00005338994
5.5,0.00007075025
6.5,0.0000811511
7.5,0.00006389763
8.5,0.00005697399
9.5,0.0000444411
10.5,0.00003188042
11.5,0.00002047212
12.5,0.00001157719
13.5,0.00001171471
14.5,0.00002523638
15.5,0.00002580949
16.5,0.00003460367
17.5,0.0001880921
18.5,0.0001733771
19.5,0.0001441418
20.5,0.0001092097
21.5,0.00008200282
22.5,0.0000885105
23.5,0.00004907945
24.5,0.00006286299
25.5,0.0001082302
26.5,0.00003632972
27.5,0.00004754255
28.5,0.00007828463
29.5,0.00002173369
30.5,0.000536958
31.5,0.00003627591
32.5,0.00001373272
33.5,0.00005675412
34.5,0.0000471565
35.5,0.0000357215
36.5,0.00007568644
37.5,0.000003146169
38.5,0.000004402047
39.5,0.000002864359
115.5,0.00002076084
116.5,0.00002512916
117.5,0.00009121353
118.5,0.00003508182
119.5,0.0000596008
120.5,0.0001900303
121.5,0.007782176
122.5,0.00007254024
123.5,0.00004730207
124.5,0.00003463962
125.5,0.00003053606
126.5,0.00004373397
127.5,0.00002131941
128.5,0.00001731028
129.5,0.00002076987
130.5,0.0001734349
131.5,0.00002721731
132.5,0.00002181609
133.5,0.0002187946
134.5,0.00002022925
135.5,0.00004551864
136.5,0.000028782
137.5,0.00003103289
138.5,0.00003012971
139.5,0.00008780778
140.5,0.00007250881
141.5,0.00004206819
142.5,0.00004555128
143.5,0.00005146117
144.5,0.00005034852
145.5,0.00005407368
146.5,0.00006688234
147.5,0.0000817296
148.5,0.00008406613
149.5,0.00007618825
150.5,0.00008539818
151.5,0.00009512323
152.5,0.0001195001
153.5,0.0001321867
154.5,0.0002291487
155.5,0.000198665
156.5,0.0001959854
157.5,0.0001738321
158.5,0.0001694648
159.5,0.0001652674
160.5,0.0001877601
161.5,0.0002232589
162.5,0.0002548284
163.5,0.0002730871
164.5,0.0003205961
165.5,0.0005059701
166.5,0.0003424179
167.5,0.0004145074
168.5,0.0004409483
169.5,0.0005782998
170.5,0.000665609
171.5,0.0006684997
172.5,0.0007314767
173.5,0.000733951
174.5,0.0008967412
175.5,0.001090289
